user_id,persona,brand_research,brand_visits,cart_adds,deals_clicked,eco_products_viewed,gift_guides_viewed,products_viewed,purchases,quick_purchases,repeat_purchases,reviews_read,searches,specs_viewed,wishlists
1,review_reader,0,0,0,0,0,0,30,4,0,0,27,10,0,2
2,review_reader,2,0,0,0,0,2,22,0,0,0,23,3,0,0
3,review_reader,0,0,0,0,0,0,42,1,1,0,30,8,0,0
4,review_reader,0,0,0,0,0,2,14,1,0,0,17,8,0,0
5,review_reader,0,0,0,0,0,0,16,1,0,0,25,16,0,1
6,review_reader,0,0,1,0,0,0,31,3,0,0,21,4,0,0
7,review_reader,0,0,1,0,0,0,25,3,0,0,19,10,0,0
8,review_reader,0,0,0,0,0,0,49,4,0,0,30,13,0,0
9,review_reader,0,0,0,0,0,0,16,4,0,0,25,20,0,0
10,review_reader,0,0,0,0,0,0,16,1,2,0,16,7,0,0
11,review_reader,0,0,0,0,0,0,46,1,0,0,15,12,0,0
12,review_reader,0,0,0,0,1,0,50,3,0,0,18,20,0,0
13,review_reader,0,0,0,0,0,0,37,1,0,0,21,14,0,0
14,review_reader,0,0,0,0,0,0,17,5,0,0,30,6,0,0
15,review_reader,0,0,0,0,1,0,42,0,0,0,29,2,1,0
16,review_reader,0,0,0,0,0,0,32,1,0,0,21,11,0,0
17,review_reader,0,0,0,2,0,0,48,2,0,0,25,19,0,0
18,review_reader,0,2,0,0,1,0,14,4,0,0,26,7,2,0
19,review_reader,0,0,0,0,0,0,27,0,0,0,25,16,0,0
20,review_reader,0,0,0,0,0,0,48,5,0,0,22,20,0,0
21,review_reader,0,0,0,0,0,0,17,0,0,0,19,8,0,0
22,review_reader,0,0,0,0,0,0,20,5,0,0,17,10,0,0
23,review_reader,0,0,0,0,0,0,37,4,0,0,16,9,0,0
24,review_reader,2,0,0,0,0,0,50,3,1,0,15,3,0,0
25,review_reader,0,0,0,1,0,0,39,3,0,0,15,15,0,0
26,review_reader,0,0,0,0,0,0,42,1,1,0,17,8,0,0
27,review_reader,0,0,0,0,0,0,15,0,0,0,25,19,0,0
28,review_reader,2,0,2,0,0,0,28,4,2,0,30,16,0,0
29,review_reader,0,0,0,0,0,0,46,3,0,2,20,7,0,0
30,review_reader,0,0,0,0,0,0,49,3,0,0,20,13,0,0
