user_id,brand_research,brand_visits,cart_adds,deals_clicked,eco_products_viewed,gift_guides_viewed,products_viewed,purchases,quick_purchases,repeat_purchases,reviews_read,searches,specs_viewed,wishlists
1,0,0,0,0,0,0,42,4,0,0,27,12,0,0
2,0,0,0,0,0,0,30,1,0,0,27,18,0,0
3,0,0,0,0,0,0,17,0,0,0,22,18,0,0
4,0,0,0,0,2,0,14,2,0,0,30,11,0,0
5,0,0,0,0,0,0,36,1,0,0,15,2,0,0
6,0,0,0,0,0,0,45,0,0,0,21,20,0,0
7,0,0,0,0,0,0,23,3,0,0,30,9,0,0
8,1,0,0,0,0,0,21,2,2,1,19,13,0,1
9,0,0,2,0,0,0,29,5,0,0,22,12,0,0
10,0,0,0,0,0,0,22,1,0,0,29,16,0,0
11,0,0,0,0,0,0,12,1,0,0,27,19,0,0
12,0,0,0,0,0,0,47,4,0,1,26,10,0,0
13,0,0,0,0,0,0,40,0,0,0,29,3,0,0
14,0,0,0,0,0,0,38,3,0,2,23,10,0,0
15,1,0,0,0,0,0,17,2,0,0,17,12,0,0
16,0,0,0,0,0,0,22,1,0,0,21,20,0,0
17,0,0,0,0,0,0,23,0,0,0,21,10,0,0
18,0,0,0,0,0,0,16,2,0,0,23,17,1,0
19,0,0,0,0,0,0,47,4,1,0,18,18,0,0
20,0,0,0,0,0,0,19,2,0,1,24,19,0,0
21,0,2,0,0,0,0,35,4,0,0,26,10,0,0
22,0,0,0,0,0,0,41,2,0,0,17,8,0,0
23,0,0,0,0,0,0,36,3,0,0,29,6,0,0
24,0,0,0,0,0,0,49,2,0,0,23,15,0,0
25,0,0,0,0,0,0,36,5,0,0,27,4,0,0
26,0,0,0,0,0,2,20,5,0,0,26,9,0,0
27,0,0,0,0,0,0,30,4,0,0,16,11,0,0
28,0,0,0,0,0,0,42,5,0,0,18,18,0,0
29,0,0,0,0,0,0,36,3,0,0,23,10,0,0
30,0,2,0,0,0,0,19,3,0,0,27,7,0,0
31,1,0,0,0,0,0,21,1,0,0,20,5,0,0
32,0,0,0,0,0,0,13,2,0,0,21,7,0,2
33,0,0,0,0,0,0,18,1,0,0,15,9,0,0
34,0,0,2,0,0,0,14,1,0,0,17,19,1,0
35,0,0,0,0,0,0,38,4,0,0,22,12,0,0
36,0,0,0,0,0,0,11,0,0,0,29,17,0,0
37,0,0,0,0,0,0,11,4,0,0,28,15,0,0
38,0,0,0,0,0,0,18,4,0,0,17,13,0,0
39,0,0,0,0,0,0,30,3,0,0,25,5,0,2
40,0,0,0,0,0,0,50,0,0,0,15,16,0,0
41,0,0,0,0,0,0,32,2,0,0,24,11,0,0
42,2,0,0,0,0,0,31,5,0,0,28,3,0,0
43,0,0,0,0,0,0,48,1,0,0,28,10,0,0
44,0,0,0,0,0,0,21,4,0,0,26,17,0,0
45,0,0,0,0,0,0,31,1,1,0,23,20,0,2
46,0,0,0,0,0,0,20,5,0,2,28,8,0,0
47,2,0,0,0,0,0,38,1,0,0,29,7,0,0
48,0,0,0,0,0,0,35,1,0,0,21,8,0,0
49,0,0,0,0,0,0,10,0,0,0,21,5,2,0
50,0,0,0,0,0,0,36,4,0,0,21,3,0,0
51,0,0,0,0,0,0,30,0,0,0,30,18,0,0
52,0,1,0,1,0,0,13,3,0,0,16,13,0,0
53,0,0,0,0,0,0,41,3,0,0,18,9,0,0
54,0,1,1,0,0,0,39,5,0,0,17,6,0,0
55,0,0,0,0,0,0,33,4,0,0,19,11,0,0
56,0,0,0,0,0,0,36,1,2,0,25,9,2,0
57,0,0,0,0,0,0,22,1,0,0,26,8,0,2
58,0,0,0,0,2,0,27,0,0,0,30,14,0,0
59,0,0,0,0,0,0,28,2,0,0,16,15,0,0
60,0,0,0,0,0,0,18,3,0,0,28,16,0,0
61,1,0,0,0,0,0,14,0,0,0,25,16,0,0
62,0,1,0,0,0,0,44,0,0,0,18,3,0,0
63,0,0,0,0,0,0,43,0,0,0,20,4,0,0
64,0,0,0,0,0,0,36,2,0,0,15,14,0,0
65,0,0,0,0,0,0,42,1,0,0,21,3,0,0
66,0,0,0,0,1,0,14,2,0,0,16,16,0,0
67,0,0,0,0,0,0,26,0,0,0,28,18,0,0
68,0,0,0,0,0,0,11,5,0,0,19,2,0,0
69,0,0,0,0,0,0,45,3,0,2,23,14,0,1
70,0,0,0,0,0,2,34,5,0,0,30,20,0,0
71,0,0,0,0,0,0,18,4,0,0,24,20,0,0
72,0,0,0,0,0,0,22,0,0,1,21,11,0,0
73,0,2,0,0,0,0,39,1,0,0,30,20,0,0
74,0,0,0,0,0,0,15,2,0,0,19,3,0,0
75,0,1,0,0,0,0,15,3,0,0,28,14,0,0
76,0,0,0,0,0,0,49,4,0,0,16,4,0,0
77,0,0,1,0,1,0,15,2,0,0,25,5,0,0
78,0,0,0,0,0,0,24,4,0,0,30,2,0,2
79,0,0,0,0,0,0,37,5,0,1,27,13,0,0
80,0,0,0,0,0,2,26,5,0,0,23,6,0,0
81,0,0,0,0,0,0,29,1,0,0,26,5,0,0
82,0,0,0,0,0,0,13,3,0,0,27,10,0,0
83,0,0,0,0,0,0,28,2,0,0,23,18,0,0
84,0,0,0,0,0,0,50,0,0,0,21,12,0,0
85,0,0,0,0,0,0,15,1,0,0,16,15,0,0
86,0,2,0,0,0,0,26,5,0,0,15,7,0,0
87,0,0,0,0,0,0,32,0,0,0,21,9,0,0
88,0,0,0,0,2,0,13,3,0,0,15,13,0,0
89,0,0,0,0,0,0,45,0,0,0,26,2,0,0
90,0,0,0,0,0,0,24,2,0,0,20,17,0,0
91,0,0,0,0,0,0,45,4,0,0,25,18,0,2
